TrueFlip, min = Sep 09, 2017 - 0.208993, max = Oct 03, 2017 - 2.90 
Akuya, min = Dec 17, 2017 - 0.074702, max = Oct 16, 2017 - 5.23 
Interstellar, min = Dec 16, 2017 - 0.010559, max = Nov 15, 2017 - 0.466864 
vSlice, min = Mar 07, 2017 - 0.000741, max = Aug 12, 2017 - 1.27 
Impact, min = Sep 15, 2017 - 0.000035, max = Apr 13, 2017 - 0.001161 
Loopring, min = Sep 05, 2017 - 0.027952, max = Dec 17, 2017 - 0.385336 
WeAreSatoshi, min = Mar 25, 2016 - 0.000008, max = Jun 29, 2017 - 0.005129 
Aerium, min = Dec 09, 2017 - 0.041483, max = Nov 18, 2017 - 3.07 
NeosCoin, min = Dec 26, 2015 - 0.000587, max = Jun 30, 2017 - 7.84 
Cardano, min = Oct 01, 2017 - 0.017354, max = Dec 17, 2017 - 0.592417 
BitCoal, min = Aug 18, 2017 - 0.002873, max = Jul 21, 2017 - 0.088618 
Roofs, min = Dec 06, 2017 - 0.000127, max = Oct 29, 2017 - 0.001300 
Dashcoin, min = Nov 11, 2015 - 0.000653, max = May 27, 2015 - 9e-08 
AlpaCoin, min = Nov 09, 2017 - 0.001408, max = Sep 11, 2017 - 0.426819 
Guncoin, min = Nov 17, 2014 - 0.000003, max = Dec 18, 2017 - 0.002866 
Flash, min = Oct 19, 2017 - 0.000600, max = Jun 27, 2017 - 0.024294 
Credo, min = Nov 21, 2017 - 0.009135, max = Sep 15, 2017 - 0.217290 
Neblio, min = Sep 12, 2017 - 0.577080, max = Oct 26, 2017 - 5.99 
